"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CeRep53",85.1986860534934,-2.10113540679641,0.676108361001995,-3.10769031710023,0.0018855553616692,0.021908357535585
"CER10-I_CE-int",86.7764534040371,-2.24851433801088,0.746811482413873,-3.01081918390321,0.00260543952753189,0.0288966929417174
"(CCTA)n",31.0133534485701,-1.55408428648605,0.52211467405742,-2.97651907464898,0.00291540945631331,0.0309286916234977
"PAL8C_3",7.67146280599682,4.62618895572191,1.59303266198118,2.90401387625571,0.00368411831202211,0.0374552028388914
"(TTCTCC)n",3.25175930352215,4.24931664444208,1.47806724432358,2.87491429145819,0.00404137186215198,0.0394437893746034
"(CAATC)n",5.22358664541032,-4.65676609529627,1.72710835231777,-2.69627906613208,0.00701188951219441,0.0658038861913629
"LINE2B_CE",11.8094485017677,-3.65260699693781,1.40720696098577,-2.5956430704259,0.00944140868157883,0.0853223599372309
"(GA)n",181.648312863651,1.11926244600976,0.44760952260595,2.50053314213132,0.0124006529515712,0.0976051393607536
"(GGATG)n",8.38168615692974,-2.86800219999022,1.1367584148415,-2.52296544502827,0.0116369835393687,0.0976051393607536
"(TGGA)n",12.1832172650354,-3.09812423903828,1.22237776125483,-2.53450638357319,0.011260587536124,0.0976051393607536
"CeRep1A",46.6502896309853,2.13574636458997,0.852287498352326,2.50589897038133,0.0122140513864114,0.0976051393607536
"CERP4",57.2325935442286,-0.963460052636958,0.387818949799101,-2.48430370185895,0.0129805051412111,0.0989763517017347
"C-rich",8.37560810904159,-3.06106691046658,1.23786452133885,-2.47286100998823,0.0134036260609365,0.099105598753591
"(CCA)n",431.78391708327,0.739108333203923,0.303666201450574,2.43394994132801,0.0149350604128846,0.107181021786584
"(TTGGGG)n",1.99459040742184,5.07634815739874,2.1179553610405,2.3968154621091,0.0165382505207172,0.115295232201571
"(GGA)n",57.53551594502,1.20916913423486,0.510227979143218,2.36986050091825,0.0177947978312492,0.120609185300689
"CELE42",180.257586952194,-0.973650453159719,0.417449393324171,-2.33237960991269,0.0196807298031507,0.129786434377534
"(TTG)n",409.276500274491,1.04265196250947,0.452555135150575,2.30392250916026,0.021226993908162,0.136299645094514
"TC4",55.2152353587291,-0.993325802489748,0.446258774336379,-2.22589640722897,0.0260211210828077,0.162798808825771
"PALTTAA2_CE",71.830960637941,-0.813743162903774,0.368569353514366,-2.20784271710224,0.0272552391293885,0.16625695868927
"(TTAGGC)n",85.2482544960848,-0.894811243163353,0.408316741958547,-2.19146351646339,0.0284182670874947,0.169123345593871
"(TTTA)n",2.94478819089182,3.91958518803435,1.80340693035832,2.17343358398626,0.029747699470694,0.172819968353555
"(TTCA)n",2.1757717279482,3.86812240724887,1.81064403367108,2.13632405669836,0.0326530093558877,0.185286843786897
"CeRep52",37.1254545475566,-1.43152558260693,0.680265929295372,-2.10436172231897,0.0353469057361541,0.196014659082309
"T-rich",1474.75548809224,0.79907015614854,0.381508108878329,2.09450372758232,0.0362151313592394,0.196366490036765
"Chapaev-2_CE",29.1147741505083,1.25500736719668,0.603712837867469,2.0788151062512,0.0376343478861246,0.199625671395965
"(TCCA)n",21.2332907712786,-2.11077777648539,1.02015634004561,-2.06907284072853,0.0385392518939723,0.200076116215516
"(TTTTTG)n",1.89992545419593,4.21349593169652,2.05589281877312,2.04947256647891,0.04041592773656,0.205447632660847
"(CTAGGG)n",3.7753461155423,-3.65344395966148,1.79148957689145,-2.03933308169219,0.0414167961143642,0.206238739834793
"Mariner3_CE",59.0796826657254,-1.43403508059623,0.733448693042402,-1.95519481348823,0.0505600805231565,0.239791431470555
"Tc1",33.434620636493,-2.05357158234485,1.05278264566877,-1.9506130641433,0.0511030919527413,0.239791431470555
"Tc6",27.53197821044,-1.57474371854241,0.802288504741356,-1.9628147595734,0.0496677021667627,0.239791431470555
"CT-rich",2590.77808562934,0.635291633475938,0.330563004031379,1.92184735051486,0.0546249682651588,0.244620239164177
"NPALTA1_CE",16.0365571677394,-1.56615934978245,0.811304340362597,-1.93042150998784,0.0535546318621511,0.244620239164177
"RCC9",4.1794763586637,3.25147336164402,1.69544229615252,1.91777294280237,0.0551398080083186,0.244620239164177
"CELE6",19.3584709437807,-1.52876083319334,0.809364912510437,-1.88884001463756,0.058913269204137,0.252190134838762
"CER13-I_CE-int",6.78770869055365,-2.90684451103142,1.5340552298908,-1.8948760477407,0.0581088251187433,0.252190134838762
"(CATATA)n",2.80475487764694,3.56222449675337,1.92741843246168,1.84818430536837,0.0645756850729015,0.266320236472449
"HAT3_CE",14.3576600620328,-1.33031615866921,0.717118498950755,-1.85508554111441,0.063584012197305,0.266320236472449
"RC123",44.7333943319234,-1.13363034177768,0.61546517771102,-1.84190817422647,0.0654885827391267,0.266320236472449
"CER12-I_CE-int",13.2929527846988,-2.56147785506048,1.40689954448721,-1.82065440641968,0.0686594069279873,0.274637627711949
"CER5-I_CE-int",10.962780226414,-2.7376194352552,1.54069344602041,-1.77687484965061,0.0755888332416745,0.292756750967755
"Turmoil2",33.1933755738072,1.46715376971099,0.823387383293052,1.78185116687514,0.0747735057130494,0.292756750967755
"Helitron1_CE",2426.762018961,0.957355028304114,0.550517623514645,1.73900886622324,0.0820332033857596,0.310323953286532
"MAR_CE",43.081787272448,-1.2917031224091,0.744321721395755,-1.73540968277387,0.0826682662443629,0.310323953286532
"PALTA5_CE",168.447845454153,-0.641592807751033,0.373255997421203,-1.71890823505516,0.0856310824275431,0.316575516853341
"CER2-I_CE-int",18.9113695449912,-2.05850205617041,1.2160984963252,-1.69270997570573,0.0905106855035717,0.324773636218699
"LINE2C1_CE",51.549982601032,-1.30097576120593,0.765637406510233,-1.69920611263726,0.0892803550624204,0.324773636218699
"CER8-I_CE-int",18.648809470687,-1.80965453194996,1.07574290031696,-1.68223702096176,0.0925228879821682,0.326954498800159
"MARINCE1",20.007505232506,-1.7599740639475,1.05029650023334,-1.67569259114592,0.0937984217869308,0.326954498800159
"NDNAX2_CE",28.4474076477411,-1.32146674027489,0.795185076212446,-1.66183543907688,0.0965457743730184,0.33179111192981
"(G)n",14.7132205151348,-1.39974997174296,0.864606589194368,-1.61894437219965,0.105459232549046,0.354618876341274
"HelitronY4_CE",129.255552277536,0.743030885165756,0.459797232728757,1.61599686182558,0.106094991692266,0.354618876341274
"CELE12A",16.6282953235586,-1.26679058826024,0.790501940611661,-1.60251420417772,0.10904194907875,0.359543723989393
"Helitron2_CE",105.101557615953,-1.00995480867817,0.637954319491141,-1.58311461780484,0.113395342423122,0.36891284734989
"(TAGG)n",24.017919683672,-1.67512237472068,1.06441861136779,-1.57374397331152,0.11554665134989,0.370965564860173
