RepeatID,rDNAdel.ESC134_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC134_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam
CERP3_dup339,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1.5
CERP3_dup340,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1911,1,0,0,0,0,15,0,0,0,0,1,0,1,7,0,1,0,0
AT_rich_dup1912,0,0,0,0,7,6,1,0,0,0,0,0,0,1,0,0,0,0
AT_rich_dup1913,0,0,0,0,0,4,0,0,0,0,6,3,0,1,0,0,0,0
AT_rich_dup1914,0,0,0,0,1,9,0,0,0,1,0,0,0,3,0,0,0,0
CERP1_dup6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helitron2_CE_dup41,0,0,34,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0
HelitronY1A_CE_dup129,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
PALTA5_CE_dup18,0,0,0,0,0,3,0,0,0,0,1,9,0,2,0,0,0,0
LR9A_dup213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERP3_dup341,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
LR9A_dup214,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
(TTAGGC)n_dup75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1915,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GA-rich_dup13,0,0,0,0,8,0,0,0,0,0,0,7,0,4,0,0,0,0
AT_rich_dup1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(CCTAG)n_dup1,0,0,0,0,0,22.33,0,0,1,0,0,0,1,0,0,0,5,0
(CCTAG)n_dup2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
(CCTAG)n_dup3,0,0,0,0,0,0.67,1,0,0,0,0,0,0,0,0,0,0,0
(GCCTG)n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(CCTAG)n_dup4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE2_dup161,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
CELE1_dup328,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0
CELE2_dup162,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
CELE4_dup31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE4_dup32,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5
CELE4_dup33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CELE1_dup329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup330,0,0,0,0,0,0,0,0,0,0,1,0,3,0.4,0,0,0,0
CELE42_dup296,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALTTAA3_CE_dup103,0,0,0,0,27,0,0,1,1,0,3,8,10,13,0,25,0,17
polypyrimidine,0,0,0,0,5,4,0,1,1,0,0,0,0,6,0,46,1,0
CELE14A_dup58,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
PAL5A_CE_dup42,0.02,0,0,20,0,0,0,0,0,0,0.02,0.06,0.02,2,0,0,0,10
CELE14A_dup59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL5A_CE_dup43,0.02,0,0,0.1,2.17,0.31,0.02,1,0,0,0.29,2.06,0.26,7.78,0,0.55,0.03,0.48
PAL5A_CE_dup44,0,31,0,47,0,0,0,0,1,0,6,2.07,2.09,2.37,0,0,0,0
CELE14A_dup60,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
MINISAT1_CE_dup274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup277,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup278,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERP3_dup342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISAT1_CE_dup279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERP3_dup343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LR9A_dup215,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
