"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MINISAT1_CE",101.860843962928,0.502353067542919,0.395701292233935,1.26952597174217,0.204253533484555,0.846855046929311
"RCS5",21.9505488605729,-0.963635101980877,0.777316338208632,-1.23969490233748,0.215088263360749,0.846855046929311
"Turmoil2",33.1933755738072,-1.10169818515721,0.875258823084845,-1.25871131612736,0.20813462256122,0.846855046929311
"(GAAA)n",4.13910785642104,-1.78798157024573,1.48105739979753,-1.20723313660238,0.227342372432009,0.873327406293692
"(CGA)n",37.4253275660425,-1.09990444510371,0.941171259790146,-1.16865494314919,0.242542682126791,0.914035799833126
"CER16-2-LTR_CE",2.20596736501954,3.28621302180312,2.81913240782626,1.1656823967119,0.2437428799555,0.914035799833126
"NPAL0A_CE",1.72734314717679,2.88820547509468,2.4958643995738,1.15719647092521,0.247192099258586,0.916064838428878
"PALTA3_CE",34.4970853570556,0.809690801071468,0.708479854031442,1.14285649262164,0.253098178963435,0.927045655505605
"(CAAT)n",0.997980599494985,-2.70597414190772,2.42765491356961,-1.11464530101969,0.265002449520919,0.937930017967299
"(CAGCC)n",0.658554389093495,-4.54124043170597,4.06081307047739,-1.11830816954401,0.263435398965806,0.937930017967299
"(TTA)n",15.419087280691,-0.75880862881643,0.67701418143974,-1.1208164461234,0.262366002189779,0.937930017967299
"(CAG)n",207.715808350068,-0.414835481941193,0.380630043686638,-1.08986531363435,0.275772477969728,0.944519642790365
"(TAAAAA)n",3.20339403167233,-1.71312242918053,1.55829532390022,-1.09935671557609,0.271612502886729,0.944519642790365
"(TCCG)n",1.2217032710971,-2.53497200695763,2.326372370517,-1.08966734607249,0.275859705195916,0.944519642790365
"CER12-LTR_CE",2.91056354473462,-2.31249007328251,2.15193653978487,-1.07460886068401,0.282549883133001,0.95702379770855
"NDNAX1_CE",14.0409583366518,-1.1595609467961,1.10363923734403,-1.05067028025087,0.293410050276025,0.983235806776041
"(A)n",20.7076715443055,-0.00688032059124722,0.551957281377575,-0.012465313572955,0.990054376320442,1
"(AAATG)n",0.201416324805322,0,4.1645776102667,0,1,1
"(AATAG)n",0.021218039127788,0,4.16457761027104,0,1,1
"(ACTCG)n",0.444477564779989,0,4.16457761027016,0,1,1
"(AGCTG)n",0.0609205147966964,-1.75777608381971,4.11635362803204,-0.427022613375437,0.669362857029245,1
"(AGGTG)n",0.14998524782496,0.507866640781874,4.16457146875455,0.121949315696041,0.902939158779605,1
"(AGTAG)n",0.0936292663976167,0,4.1645776102685,0,1,1
"(ATATG)n",0.143059068721181,-2.5163303482075,4.09658314493309,-0.614251013389013,0.539049467902041,1
"(ATCTG)n",0.315609727571532,-2.84136948582798,4.09074909310502,-0.694584151009682,0.487315947469761,1
"(ATTCG)n",0.444477564779989,0,4.16457761027016,0,1,1
