,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CER7-I_CE-int,2226.08992471913,1.39051505240898,0.86462957803868,1.60822054637919,0.107786884779603,0.983581961498469
CERP1,1.71639742954053,-2.74474360772183,1.90154184422063,-1.44343055929268,0.148899220745534,0.983581961498469
Chapaev-1_CE,86.6978455246071,-0.428693732645343,0.305893172756494,-1.40144916861745,0.161079797850454,0.983581961498469
HelitronY2_CE,50.7026325695902,-0.89982723324983,0.642078087022454,-1.40142959468162,0.161085647556161,0.983581961498469
MARINCE1,20.007505232506,-1.18446571716367,0.839810720137256,-1.41039604373005,0.158422772947712,0.983581961498469
NDNAX2_CE,28.4474076477411,-1.10591955943487,0.635906934596499,-1.7391217161936,0.0820133555723476,0.983581961498469
NPAL0A_CE,1.72734314717679,2.96401818512175,1.73495255734319,1.70841454573299,0.087559450162861,0.983581961498469
PAL5A_CE,85.6180320338149,0.605946471701658,0.431609502570354,1.40392291664822,0.160341804711447,0.983581961498469
PAL8B_CE,1.43027507414899,-2.46210234718129,1.52013956176908,-1.619655463947,0.105306308095688,0.983581961498469
PALTA3_CE,34.4970853570556,0.912365008771737,0.566120873830527,1.61160814049909,0.107047238137733,0.983581961498469
PALTTAA2_CE,71.830960637941,-0.43846708597758,0.314018879156541,-1.39630804095381,0.162621753434952,0.983581961498469
PALTTAA3_CE,127.835329903093,0.383220282382919,0.258295176327652,1.48365249336595,0.137901135539094,0.983581961498469
PALTTTAAA3,39.558176914703,1.06401798145063,0.71401830803324,1.49018305200249,0.136176111378239,0.983581961498469
T-rich,1474.75548809224,0.466329612260697,0.324201618880168,1.43839384229929,0.150322338802904,0.983581961498469
TC2,15.0510229531318,1.25748031953053,0.73487867396246,1.71114003451782,0.087055265238934,0.983581961498469
(GAAAA)n,18.8552269840331,-1.16499936821811,0.861600322400443,-1.35213432252716,0.176332349258993,0.987858699667274
(TAAAAA)n,3.20339403167233,-1.55736929647478,1.14434043699012,-1.36093180502388,0.173535241386042,0.987858699667274
(TAG)n,26.9865163884985,0.65204398114147,0.488737705596135,1.33413889224312,0.182158341782618,0.987858699667274
CT-rich,2590.77808562934,-0.385914728745646,0.280420888637742,-1.37619822339335,0.168760271994156,0.987858699667274
LONGPAL1,4.03826818245857,-1.41831183102553,1.05623720253747,-1.34279670098556,0.179337811934833,0.987858699667274
(A)n,20.7076715443055,0.250987829373855,0.404379545158345,0.620673900000493,0.5348142055035,0.999794118537047
(ACTAG)n,4.75887043737828,-0.580661251783238,1.6314256712643,-0.355922590903724,0.721898537098945,0.999794118537047
(ATCTG)n,0.315609727571532,-1.54474285337779,3.00511267411881,-0.514038247777432,0.60722524997962,0.999794118537047
(C)n,107.105834979255,0.507747684845394,0.769792260540323,0.659590529643676,0.509516633277292,0.999794118537047
(CA)n,69.3620173922921,-0.372702745202433,0.567186910610637,-0.657107451230106,0.511111828126671,0.999794118537047
(CAA)n,421.688224872213,-0.243592421546658,0.463869127051777,-0.52513178252423,0.599491583306771,0.999794118537047
(CAAA)n,15.1308473961218,0.740785788163082,1.22974013705787,0.602392136224324,0.5469131432748,0.999794118537047
(CAAT)n,0.997980599494985,-0.996814484477034,1.82566582896682,-0.546000515900083,0.585065582582955,0.999794118537047
(CAATA)n,0.688953058667693,0.160056060781177,2.52445085531695,0.0634023278544203,0.949446133623056,0.999794118537047
(CAATC)n,5.22358664541032,-1.23712688262401,1.50482858171441,-0.822104854769962,0.411017222703189,0.999794118537047
(CAATT)n,0.369310380265917,-0.5320775050401,2.99810075875018,-0.177471522091842,0.859138032233417,0.999794118537047
(CACCAT)n,29.6728357286154,0.170130002504532,0.427277157757865,0.398172472868169,0.690503055483683,0.999794118537047
(CAG)n,207.715808350068,0.0662289557212327,0.431932515678927,0.153331720389542,0.878136687180684,0.999794118537047
(CAGA)n,1.09503841522596,0.442078261947929,1.62407077595018,0.272203815556799,0.785465308183814,0.999794118537047
(CAGG)n,63.6873283020258,-0.166331324232655,0.396882027126459,-0.419095128688345,0.675146610660687,0.999794118537047
(CAGT)n,0.386472690189939,3.14945627190932,3.03466545800875,1.03782651349513,0.299350830812263,0.999794118537047
(CAT)n,511.312071231245,-0.167960630358533,0.325526941277798,-0.515965375090717,0.605878592533765,0.999794118537047
