"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CeRep53",85.1986860534934,-1.83052663838212,0.599173920661416,-3.05508396687465,0.00224997520508686,0.0176603924117902
"Merlin1m_CE",4.97585544947888,5.70762482747214,1.88237806289032,3.03213522298933,0.00242830395662115,0.0176603924117902
"CELE6",19.3584709437807,-2.14546427224602,0.717542285832477,-2.99001789108066,0.00278961107289653,0.019128761642719
"CER16-LTR_CE",3.91104505654413,3.813977413036,1.27412063398822,2.9934193916141,0.00275870371694424,0.019128761642719
"(TTCTCC)n",3.25175930352215,3.67290657271628,1.25896290462313,2.91740650914236,0.00352955440836309,0.022894406973166
"CELE2",335.526556144819,-0.602632361583218,0.206180440669135,-2.92283962352318,0.00346855120705083,0.022894406973166
"CEMUDR1",75.4772461702691,-1.05853277394142,0.385058913598707,-2.74901511576117,0.00597746295888909,0.037752397635089
"CELE46A",165.067685448131,-0.769106944987514,0.290051437669212,-2.65162259207499,0.00801060267021448,0.0492960164320891
"PAL5A_CE",85.6180320338149,-1.14230495117226,0.441283815822318,-2.5885947098323,0.00963684422897165,0.0578210653738299
"RTE1",201.448857540407,0.991472288737616,0.384600271589063,2.57792924753049,0.0099394346933703,0.0581820567416798
"(T)n",12.7878464397933,-1.9296190507064,0.753554622446993,-2.56068902402909,0.0104464817459717,0.0596941814055524
"PALTA4_CE",4.41371442659546,-4.04393899093134,1.59443416320972,-2.53628471105421,0.0112035606606578,0.0625315013618109
"PALTA3_CE",34.4970853570556,-1.5232734370169,0.60896472257031,-2.50141491051812,0.0123698163391518,0.0674717254862823
"(CCCCAG)n",831.774419119078,1.08656189199176,0.438421665449936,2.47834899052414,0.0131991970771956,0.0688653760549334
"(TCCA)n",21.2332907712786,-2.25028097432874,0.906420172312193,-2.48260248730838,0.0130426543042123,0.0688653760549334
"Mariner3_CE",59.0796826657254,-1.54291880026698,0.648902753595077,-2.37773501764145,0.0174193386295454,0.0889498142785295
"CELE42",180.257586952194,-0.868975713138795,0.369073272205476,-2.35448020374395,0.0185486316660323,0.091691579584485
"LINE2A_CE",24.4592164546612,-1.57491189948375,0.669875098323345,-2.35105305963105,0.0187203641651657,0.091691579584485
"PAL8B_CE",1.43027507414899,4.23870155584568,1.81967300527707,2.32937541171046,0.0198391864951403,0.0952280951766733
"CER8-I_CE-int",18.648809470687,-2.20193768254537,0.95393939144442,-2.30825742420729,0.020984822965095,0.0984423224833065
"TC2",15.0510229531318,-1.79807649969909,0.783512659680987,-2.29489144493363,0.0217393462150635,0.0984423224833065
"Tc6",27.53197821044,-1.63648810317996,0.711795931055667,-2.29909729991415,0.0214994148023549,0.0984423224833065
"(CGA)n",37.4253275660425,1.80118969488255,0.791249246935304,2.2763872469503,0.022822842296509,0.101434854651151
"(GGATG)n",8.38168615692974,-2.30712242107166,1.02355513195053,-2.25402848274046,0.0241943761821382,0.105575459703876
"CERP2",31.1423301386505,-1.00985218402874,0.45235915510237,-2.23241239320161,0.0255877194675562,0.109661654860955
